162.bmp 649.bmp 611.bmp 
425.bmp 5.25155e+08 5.54316e+08 3.84936e+08
426.bmp 7.56213e+08 6.11423e+08 5.84202e+08
427.bmp 8.21015e+08 6.76081e+08 6.51067e+08
428.bmp 3.60863e+08 5.95389e+08 2.86969e+08
429.bmp 7.59292e+08 6.17832e+08 5.88602e+08
430.bmp 6.18748e+08 5.87386e+08 4.63955e+08
431.bmp 3.949e+08 6.05098e+08 2.99696e+08
432.bmp 7.80227e+08 6.34044e+08 6.07492e+08
433.bmp 3.46719e+08 6.13521e+08 2.6579e+08
434.bmp 7.62185e+08 6.21622e+08 5.92351e+08
435.bmp 5.88924e+08 5.25519e+08 4.20314e+08
436.bmp 7.65205e+08 6.05637e+08 5.87141e+08
437.bmp 7.67711e+08 6.15916e+08 5.9469e+08
438.bmp 7.67731e+08 6.18314e+08 5.9445e+08
439.bmp 7.09119e+08 5.71505e+08 5.36357e+08
440.bmp 8.03054e+08 6.51198e+08 6.20725e+08
441.bmp 7.5374e+08 6.15189e+08 5.81318e+08
442.bmp 7.79637e+08 6.3504e+08 6.08657e+08
443.bmp 6.41043e+08 5.1628e+08 4.5985e+08
444.bmp 7.38834e+08 5.3611e+08 5.41889e+08
445.bmp 7.69101e+08 6.16967e+08 5.96658e+08
446.bmp 7.55399e+08 6.00917e+08 5.74075e+08
447.bmp 7.82369e+08 6.28726e+08 6.08344e+08
448.bmp 4.97396e+08 5.59584e+08 3.7342e+08
449.bmp 7.24522e+08 5.84286e+08 5.52877e+08
450.bmp 6.34941e+08 5.35359e+08 4.7561e+08
451.bmp 5.38901e+08 5.61265e+08 3.95669e+08
452.bmp 7.1291e+08 5.88705e+08 5.45282e+08
453.bmp 5.43181e+08 5.46796e+08 4.01879e+08
454.bmp 3.61556e+08 6.6501e+08 2.82731e+08
455.bmp 6.62129e+08 5.85746e+08 5.01976e+08
456.bmp 6.2391e+08 5.67156e+08 4.67612e+08
457.bmp 5.6982e+08 5.91685e+08 4.47494e+08
458.bmp 5.91729e+08 5.38575e+08 4.44856e+08
459.bmp 7.2934e+08 6.01383e+08 5.59758e+08
460.bmp 5.06435e+08 5.59539e+08 3.77589e+08
461.bmp 5.92314e+08 5.92128e+08 4.51529e+08
462.bmp 6.30837e+08 5.57397e+08 4.79393e+08
463.bmp 6.88696e+08 5.59586e+08 5.14488e+08
